player_name,team,position,signed_year,years,total_value,guaranteed,aav,cap_pct
Jacob Martin,Commanders,EDGE,2025,1,2.585,1.05,2.585,0.9
Kamalei Correa,BAL/TEN,EDGE,2016,4,5.749638,3.542903,1.43741,0.9
Samson Ebukam,Falcons,EDGE,2026,1,2.765,0.7,2.765,0.9
Donovan Ezeiruaku,Cowboys,EDGE,2025,4,10.15509,8.775723,2.538773,0.9
Marcus Davenport,Lions,EDGE,2025,1,2.5,1.65,2.5,0.9
Payton Turner,Cowboys,EDGE,2025,1,2.5,2.0,2.5,0.9
Jihad Ward,Raiders,EDGE,2016,4,5.539798,3.380753,1.38495,0.9
J.T. Tuimoloau,Colts,EDGE,2025,4,9.942464,8.405411,2.485616,0.9
Chase Winovich,Texans,EDGE,2023,1,2.0,1.75,2.0,0.9
Efe Obada,Commanders,EDGE,2023,1,2.0,1.0,2.0,0.9
Melvin Ingram,Chiefs,EDGE,2022,1,1.826,0.0,1.826,0.9
Brandon Graham,Eagles,EDGE,2025,1,2.444444,2.444444,2.444444,0.9
Brandon Copeland,Jets,EDGE,2018,1,1.55,0.1,1.55,0.9
Jamaal Anderson,Colts,EDGE,2011,1,1.05,0.3,1.05,0.9
Keion White,SF/NE,EDGE,2023,4,7.79017,5.321683,1.947543,0.9
Brooks Reed,Cardinals,EDGE,2019,1,1.625,0.25,1.625,0.9
Breeland Speaks,Chiefs,EDGE,2018,4,6.100516,3.754036,1.525129,0.9
Terrell McClain,Falcons,EDGE,2018,1,1.525,0.55,1.525,0.9
Darrell Taylor,Seahawks,EDGE,2020,4,6.764512,4.007122,1.691128,0.9
Dayo Odeyingbo,Colts,EDGE,2021,4,6.17753,3.453545,1.544383,0.8
Osi Umenyiora,Giants,EDGE,2003,4,2.535,1.165,0.63375,0.8
Da'Shawn Hand,Chargers,EDGE,2025,1,2.35,0.725,2.35,0.8
Trent Murphy,Commanders,EDGE,2014,4,4.472798,2.616253,1.1182,0.8
Lamarr Houston,Raiders,EDGE,2010,4,4.33,2.48,1.0825,0.8
Wallace Gilberry,Bengals,EDGE,2017,1,1.4,0.3,1.4,0.8
George Selvie,Giants,EDGE,2015,1,1.2,0.2,1.2,0.8
Tyus Bowser,Ravens,EDGE,2017,4,5.575506,3.378326,1.393877,0.8
Vernon Gholston,Bears,EDGE,2011,1,1.0,0.25,1.0,0.8
Dante Fowler Jr.,Seahawks,EDGE,2026,1,2.5,0.5,2.5,0.8
Sam Williams,Cowboys,EDGE,2026,1,2.5,2.0,2.5,0.8
Clark Haggans,Cardinals,EDGE,2012,1,1.0,0.0,1.0,0.8
Daniel Hardy,Bears,EDGE,2026,2,4.97,2.45,2.485,0.8
DeMarcus Walker,Texans,EDGE,2021,1,1.5,0.8,1.5,0.8
Efe Obada,Bills,EDGE,2021,1,1.5,0.65,1.5,0.8
Kyler Fackrell,Chargers,EDGE,2021,1,1.5,0.5,1.5,0.8
