player_name,espn_id,team,position,season,category,fetched_at,GP,REC,TGTS,BIG,YDS/G,FUM,LST,YAC,FD,REC_YDS,REC_TD,REC_AVG,REC_LNG
Saquon Barkley,3929630,NYG,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,57.0,76.0,2.0,21.1,0.0,0.0,434.0,10.0,338.0,0.0,5.9,41.0
Hunter Renfrow,3135321,LV,WR,2022,receiving,2026-07-03T11:41:35.354918,10.0,36.0,50.0,3.0,33.0,3.0,1.0,148.0,18.0,330.0,2.0,9.2,27.0
Sammy Watkins,16725,BAL/GB,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,16.0,27.0,7.0,27.1,1.0,1.0,126.0,11.0,325.0,0.0,20.3,55.0
Logan Thomas,16813,WSH,TE,2022,receiving,2026-07-03T11:41:35.354918,14.0,39.0,61.0,2.0,23.1,0.0,0.0,126.0,15.0,323.0,1.0,8.3,27.0
Equanimeous St. Brown,3932442,CHI,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,21.0,38.0,5.0,20.2,1.0,0.0,98.0,14.0,323.0,1.0,15.4,56.0
Colby Parkinson,4242557,SEA,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,25.0,34.0,5.0,18.9,0.0,0.0,150.0,14.0,322.0,2.0,12.9,39.0
David Montgomery,4035538,CHI,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,34.0,40.0,5.0,19.8,1.0,1.0,283.0,10.0,316.0,1.0,9.3,32.0
Travis Etienne Jr.,4239996,JAX,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,35.0,45.0,6.0,18.6,2.0,0.0,354.0,16.0,316.0,0.0,9.0,30.0
Justin Watson,3118892,KC,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,15.0,34.0,6.0,18.5,0.0,0.0,60.0,12.0,315.0,2.0,21.0,67.0
Jelani Woods,4241410,IND,TE,2022,receiving,2026-07-03T11:41:35.354918,15.0,25.0,40.0,4.0,20.8,1.0,0.0,120.0,16.0,312.0,3.0,12.5,36.0
Kendall Hinton,3700815,DEN,WR,2022,receiving,2026-07-03T11:41:35.354918,12.0,24.0,33.0,5.0,25.9,0.0,0.0,139.0,14.0,311.0,0.0,13.0,35.0
Kylen Granson,4039160,IND,TE,2022,receiving,2026-07-03T11:41:35.354918,13.0,31.0,40.0,3.0,23.2,1.0,0.0,127.0,17.0,302.0,0.0,9.7,32.0
James Conner,3045147,ARI,RB,2022,receiving,2026-07-03T11:41:35.354918,13.0,46.0,58.0,2.0,23.1,0.0,0.0,376.0,13.0,300.0,1.0,6.5,22.0
Julio Jones,13982,TB,WR,2022,receiving,2026-07-03T11:41:35.354918,10.0,24.0,43.0,3.0,29.9,0.0,0.0,124.0,13.0,299.0,2.0,12.5,48.0
Noah Gray,4240472,KC,TE,2022,receiving,2026-07-03T11:41:35.354918,17.0,28.0,34.0,3.0,17.6,0.0,0.0,182.0,14.0,299.0,1.0,10.7,27.0
Tutu Atwell,4360797,LAR,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,18.0,35.0,5.0,22.9,0.0,0.0,60.0,11.0,298.0,1.0,16.6,62.0
Mecole Hardman Jr.,4035004,KC,WR,2022,receiving,2026-07-03T11:41:35.354918,8.0,25.0,34.0,5.0,37.1,0.0,0.0,160.0,14.0,297.0,4.0,11.9,36.0
Shi Smith,4259499,CAR,WR,2022,receiving,2026-07-03T11:41:35.354918,17.0,22.0,41.0,6.0,17.4,1.0,1.0,132.0,14.0,296.0,2.0,13.5,38.0
Dalvin Cook,3116593,MIN,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,39.0,56.0,2.0,17.4,0.0,0.0,331.0,16.0,295.0,2.0,7.6,64.0
Rachaad White,4697815,TB,RB,2022,receiving,2026-07-03T11:41:35.354918,17.0,50.0,58.0,1.0,17.1,1.0,1.0,319.0,13.0,290.0,2.0,5.8,20.0
Michael Carter,4240657,NYJ,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,41.0,54.0,1.0,18.0,0.0,0.0,274.0,12.0,288.0,0.0,7.0,37.0
Samaje Perine,3116389,CIN,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,38.0,51.0,2.0,17.9,0.0,0.0,321.0,11.0,287.0,4.0,7.6,32.0
Rashod Bateman,4360939,BAL,WR,2022,receiving,2026-07-03T11:41:35.354918,7.0,15.0,28.0,5.0,40.7,1.0,1.0,133.0,7.0,285.0,2.0,19.0,75.0
Robbie Chosen,2574808,ARI/CAR,WR,2022,receiving,2026-07-03T11:41:35.354918,16.0,20.0,44.0,3.0,17.6,1.0,1.0,96.0,10.0,282.0,1.0,14.1,75.0
Devin Singletary,4040761,BUF,RB,2022,receiving,2026-07-03T11:41:35.354918,16.0,38.0,52.0,1.0,17.5,0.0,0.0,257.0,15.0,280.0,1.0,7.4,22.0
Tre'Quan Smith,3128451,NO,WR,2022,receiving,2026-07-03T11:41:35.354918,15.0,19.0,27.0,4.0,18.5,0.0,0.0,66.0,14.0,278.0,1.0,14.6,48.0
Jarvis Landry,16790,NO,WR,2022,receiving,2026-07-03T11:41:35.354918,9.0,25.0,39.0,2.0,30.2,1.0,0.0,61.0,12.0,272.0,1.0,10.9,40.0
Laviska Shenault Jr.,4243160,CAR,WR,2022,receiving,2026-07-03T11:41:35.354918,13.0,27.0,32.0,3.0,20.9,0.0,0.0,330.0,10.0,272.0,1.0,10.1,67.0
Damiere Byrd,2577667,ATL,WR,2022,receiving,2026-07-03T11:41:35.354918,14.0,13.0,23.0,3.0,19.1,0.0,0.0,105.0,9.0,268.0,2.0,20.6,75.0
